# Ising model in 2dimensions at kT = 2
#  time     energy  
      0     -222.000
      1     -308.000
      2     -384.000
      3     -388.000
      4     -428.000
      5     -438.000
      6     -498.000
      7     -482.000
      8     -510.000
      9     -466.000
     10     -478.000
     11     -454.000
     12     -448.000
     13     -430.000
     14     -434.000
     15     -470.000
     16     -402.000
     17     -420.000
     18     -472.000
     19     -494.000
     20     -510.000
     21     -496.000
     22     -452.000
     23     -458.000
     24     -434.000
     25     -452.000
     26     -436.000
     27     -456.000
     28     -450.000
     29     -468.000
     30     -504.000
     31     -490.000
     32     -490.000
     33     -518.000
     34     -532.000
     35     -504.000
     36     -496.000
     37     -510.000
     38     -508.000
     39     -534.000
     40     -490.000
     41     -468.000
     42     -444.000
     43     -498.000
     44     -530.000
     45     -494.000
     46     -496.000
     47     -514.000
     48     -514.000
     49     -534.000
     50     -508.000
     51     -526.000
     52     -504.000
     53     -556.000
     54     -568.000
     55     -488.000
     56     -466.000
     57     -502.000
     58     -524.000
     59     -538.000
     60     -500.000
     61     -492.000
     62     -474.000
     63     -532.000
     64     -516.000
     65     -492.000
     66     -498.000
     67     -524.000
     68     -500.000
     69     -488.000
     70     -480.000
     71     -460.000
     72     -470.000
     73     -510.000
     74     -478.000
     75     -472.000
     76     -452.000
     77     -460.000
     78     -480.000
     79     -506.000
     80     -520.000
     81     -530.000
     82     -514.000
     83     -504.000
     84     -514.000
     85     -504.000
     86     -586.000
     87     -594.000
     88     -618.000
     89     -576.000
     90     -560.000
     91     -566.000
     92     -606.000
     93     -614.000
     94     -602.000
     95     -578.000
     96     -586.000
     97     -592.000
     98     -548.000
     99     -538.000
    100     -580.000
    110     -546.000
    120     -544.000
    130     -578.000
    140     -586.000
    150     -586.000
    160     -592.000
    170     -568.000
    180     -532.000
    190     -554.000
    200     -566.000
    210     -584.000
    220     -550.000
    230     -618.000
    240     -624.000
    250     -550.000
    260     -630.000
    270     -562.000
    280     -512.000
    290     -542.000
    300     -566.000
    310     -614.000
    320     -580.000
    330     -556.000
    340     -572.000
    350     -532.000
    360     -578.000
    370     -580.000
    380     -548.000
    390     -542.000
    400     -544.000
    410     -548.000
    420     -518.000
    430     -600.000
    440     -530.000
    450     -530.000
    460     -494.000
    470     -526.000
    480     -550.000
    490     -608.000
    500     -580.000
    510     -610.000
    520     -572.000
    530     -636.000
    540     -604.000
    550     -550.000
    560     -596.000
    570     -544.000
    580     -548.000
    590     -560.000
    600     -570.000
    610     -590.000
    620     -650.000
    630     -594.000
    640     -552.000
    650     -546.000
    660     -550.000
    670     -542.000
    680     -590.000
    690     -576.000
    700     -552.000
    710     -638.000
    720     -590.000
    730     -646.000
    740     -624.000
    750     -646.000
    760     -522.000
    770     -568.000
    780     -538.000
    790     -586.000
    800     -546.000
    810     -568.000
    820     -578.000
    830     -562.000
    840     -544.000
    850     -504.000
    860     -556.000
    870     -542.000
    880     -566.000
    890     -542.000
    900     -584.000
    910     -538.000
    920     -558.000
    930     -586.000
    940     -574.000
    950     -590.000
    960     -608.000
    970     -592.000
    980     -558.000
    990     -588.000
