# Ising model in 2dimensions at kT = 4
#  time     energy  
      0       -2.000  -0.120
      1      -18.000  0.680
      2        2.000  0.280
      3       -2.000  -0.040
      4      -10.000  0.440
      5      -34.000  0.840
      6      -14.000  0.040
      7      -26.000  -0.680
      8      -18.000  -0.600
      9      -14.000  -0.520
     10      -14.000  -0.440
     11       -6.000  0.200
     12       -2.000  -0.040
     13       -2.000  -0.120
     14       -2.000  -0.200
     15      -14.000  0.440
     16      -22.000  0.360
     17      -34.000  -0.840
     18      -14.000  0.040
     19      -22.000  0.360
     20      -26.000  -0.040
     21      -22.000  0.040
     22      -14.000  0.360
     23       -6.000  0.120
     24       -2.000  0.200
     25      -18.000  0.520
     26       -6.000  -0.040
     27      -14.000  0.200
     28      -22.000  -0.280
     29      -14.000  0.280
     30      -18.000  -0.040
     31      -26.000  0.520
     32      -34.000  0.760
     33      -42.000  0.920
     34      -34.000  0.760
     35      -18.000  -0.520
     36      -34.000  -0.840
     37      -18.000  -0.360
     38       -2.000  -0.120
     39       -6.000  -0.440
     40      -18.000  -0.680
     41      -50.000  -1.000
     42      -26.000  -0.760
     43      -10.000  0.040
     44      -26.000  0.520
     45      -14.000  0.360
     46      -18.000  0.360
     47      -10.000  -0.040
     48       -2.000  0.040
     49      -10.000  -0.120
     50      -18.000  0.120
     51      -18.000  0.360
     52      -26.000  0.680
     53      -10.000  -0.280
     54      -22.000  -0.680
     55       -6.000  -0.360
     56      -14.000  0.120
     57      -38.000  -0.840
     58      -18.000  0.280
     59       -6.000  0.040
     60      -34.000  0.840
     61      -22.000  0.280
     62      -22.000  -0.280
     63      -34.000  -0.840
     64      -10.000  -0.200
     65      -14.000  -0.200
     66      -30.000  -0.760
     67      -22.000  0.520
     68      -18.000  0.360
     69      -10.000  0.200
     70      -10.000  -0.440
     71       -2.000  -0.120
     72       -6.000  0.360
     73      -10.000  -0.280
     74       -2.000  -0.040
     75       -2.000  0.120
     76      -22.000  0.600
     77      -26.000  0.680
     78      -14.000  -0.360
     79      -18.000  -0.360
     80      -18.000  -0.520
     81      -10.000  -0.440
     82      -10.000  0.200
     83      -10.000  -0.280
     84       -2.000  -0.280
     85       -6.000  -0.200
     86       -6.000  0.040
     87      -14.000  0.040
     88      -14.000  -0.200
     89      -26.000  -0.680
     90      -26.000  -0.760
     91      -26.000  -0.680
     92      -34.000  -0.840
     93      -14.000  -0.040
     94      -22.000  0.680
     95      -18.000  0.200
     96       -6.000  -0.120
     97       -6.000  -0.040
     98      -26.000  0.520
     99      -10.000  0.040
    100      -14.000  0.360
    110       -2.000  0.360
    120       -6.000  -0.200
    130      -18.000  0.440
    140      -18.000  -0.360
    150      -22.000  0.280
    160       -6.000  -0.120
    170      -10.000  0.120
    180      -10.000  0.200
    190      -14.000  0.280
    200      -22.000  0.600
    210      -22.000  0.600
    220      -34.000  0.840
    230      -18.000  -0.600
    240      -26.000  0.360
    250      -10.000  0.200
    260      -26.000  0.280
    270      -14.000  0.200
    280      -14.000  -0.200
    290       -6.000  -0.360
    300      -10.000  -0.360
    310      -18.000  -0.120
    320       -2.000  -0.040
    330      -42.000  -0.920
    340       -6.000  0.200
    350      -18.000  -0.520
    360       -6.000  0.200
    370      -14.000  0.520
    380      -18.000  -0.600
    390       -2.000  -0.200
    400       -6.000  0.040
    410      -18.000  -0.680
    420      -10.000  0.280
    430      -18.000  0.440
    440      -26.000  -0.760
