#      h                   y_euler(t)              y_rk4(t)                y_exact(t) 
0.1000000000000000e+00  1.0000000000000000e+00  1.0000000000000000e+00  1.0000000000000000e+00
0.0100000000000000e+00  7.7910971370577951e-03  1.1110376615634054e-02  1.0000000000000000e+00
0.0010000000000000e+00  8.1436185073637037e-05  1.1977138388334903e-04  1.0000000000000000e+00
0.0001000000000000e+00  8.9925439534513328e-07  1.3265535874450260e-06  1.0000000000000000e+00
0.0000100000000000e+00  9.9868170207032057e-09  1.4736679210710214e-08  1.0000000000000000e+00
0.0000010000000000e+00  1.1094018740458589e-10  1.6370971833549867e-10  1.0000000000000000e+00
0.0000001000000000e+00  1.2324304605738921e-12  1.8186506943346920e-12  1.0000000000000000e+00
