0  18.0373  16.0069  16.4986  8.93671  11.475  5.29307  19.0329  13.3363  
0.001  18.0774  16.217  16.5687  8.97764  11.602  3.61371  19.2489  13.584  
0.002  18.1155  16.4293  16.6371  9.01844  11.7294  2.75866  19.4664  13.8355  
0.003  18.1514  16.6437  16.7037  9.05913  11.8572  2.24066  19.6854  14.0908  
0.004  18.1852  16.8601  16.7685  9.09969  11.9854  1.89332  19.9058  14.3501  
0.005  18.2169  17.0786  16.8314  9.14013  12.114  1.64429  20.1276  14.6132  
0.006  18.2463  17.2993  16.8924  9.18045  12.2429  1.45706  20.3508  14.8803  
0.007  18.2735  17.5219  16.9515  9.22064  12.3721  1.3112  20.5754  15.1513  
0.008  18.2984  17.7466  17.0086  9.2607  12.5016  1.19439  20.8012  15.4263  
0.009  18.321  17.9734  17.0636  9.30064  12.6314  1.09875  21.0283  15.7053  
0.01  18.3413  18.2022  17.1165  9.34046  12.7614  1.01904  21.2567  15.9883  
0.011  18.3593  18.4329  17.1673  9.38014  12.8916  0.951597  21.4863  16.2753  
0.012  18.3749  18.6656  17.2159  9.41971  13.022  0.893803  21.717  16.5664  
0.013  18.3881  18.9003  17.2623  9.45915  13.1526  0.843741  21.9488  16.8615  
0.014  18.3989  19.1369  17.3064  9.49846  13.2833  0.799967  22.1817  17.1607  
0.015  18.4073  19.3754  17.3482  9.53766  13.4141  0.761376  22.4156  17.4639  
0.016  18.4132  19.6157  17.3876  9.57673  13.545  0.727108  22.6505  17.7712  
0.017  18.4166  19.8579  17.4246  9.61569  13.6759  0.696482  22.8863  18.0825  
0.018  18.4176  20.1019  17.4591  9.65453  13.8068  0.668956  23.1229  18.3979  
0.019  18.416  20.3477  17.491  9.69326  13.9378  0.644087  23.3604  18.7173  
0.02  18.4118  20.5951  17.5205  9.73188  14.0687  0.621513  23.5986  19.0408  
0.021  18.4051  20.8443  17.5473  9.77039  14.1995  0.600938  23.8374  19.3683  
0.022  18.3959  21.095  17.5714  9.80879  14.3302  0.58211  24.0769  19.6999  
0.023  18.384  21.3474  17.5928  9.84709  14.4608  0.564822  24.317  20.0354  
