#  N   Simpsons     Milne      GSL_QAG_31  
#-----------------------------------------
 473  8.374939e-09  3.767190e-12  7.067899e-16
 477  8.096932e-09  3.583001e-12  7.067899e-16
 481  7.830376e-09  3.402204e-12  7.067899e-16
 485  7.574692e-09  3.243600e-12  7.067899e-16
 489  7.329367e-09  3.079342e-12  7.067899e-16
 493  7.093892e-09  2.930916e-12  7.067899e-16
 497  6.867787e-09  2.795496e-12  7.067899e-16
 501  6.650626e-09  2.668415e-12  7.067899e-16
 505  6.441981e-09  2.548119e-12  7.067899e-16
 509  6.241461e-09  2.425138e-12  7.067899e-16
 513  6.048678e-09  2.311910e-12  7.067899e-16
 517  5.863283e-09  2.202640e-12  7.067899e-16
 521  5.684937e-09  2.102417e-12  7.067899e-16
 525  5.513310e-09  2.014917e-12  7.067899e-16
 529  5.348129e-09  1.916956e-12  7.067899e-16
 533  5.189074e-09  1.838361e-12  7.067899e-16
 537  5.035893e-09  1.756938e-12  7.067899e-16
 541  4.888322e-09  1.680888e-12  7.067899e-16
 545  4.746119e-09  1.607947e-12  7.067899e-16
 549  4.609051e-09  1.536844e-12  7.067899e-16
 553  4.476895e-09  1.470971e-12  7.067899e-16
 557  4.349439e-09  1.411177e-12  7.067899e-16
 561  4.226491e-09  1.349686e-12  7.067899e-16
 565  4.107854e-09  1.292577e-12  7.067899e-16
 569  3.993350e-09  1.237872e-12  7.067899e-16
 573  3.882805e-09  1.190234e-12  7.067899e-16
 577  3.776067e-09  1.137649e-12  7.067899e-16
 581  3.672961e-09  1.099906e-12  7.067899e-16
 585  3.573363e-09  1.049159e-12  7.067899e-16
 589  3.477113e-09  1.007034e-12  7.067899e-16
 593  3.384081e-09  9.606689e-13  7.067899e-16
 597  3.294136e-09  9.316905e-13  7.067899e-16
 601  3.207173e-09  8.863146e-13  7.067899e-16
 605  3.123037e-09  8.607288e-13  7.067899e-16
 609  3.041664e-09  8.195936e-13  7.067899e-16
 613  2.962921e-09  7.834060e-13  7.067899e-16
 617  2.886702e-09  7.585270e-13  7.067899e-16
 621  2.812925e-09  7.285591e-13  7.067899e-16
 625  2.741487e-09  6.973189e-13  7.067899e-16
 629  2.672294e-09  6.783770e-13  7.067899e-16
 633  2.605274e-09  6.602832e-13  7.067899e-16
 637  2.540347e-09  6.298912e-13  7.067899e-16
 641  2.477432e-09  6.031745e-13  7.067899e-16
 645  2.416450e-09  5.819708e-13  7.067899e-16
 649  2.357338e-09  5.573745e-13  7.067899e-16
 653  2.300008e-09  5.459245e-13  7.067899e-16
 657  2.244417e-09  5.303752e-13  7.067899e-16
 661  2.190505e-09  5.026690e-13  7.067899e-16
 665  2.138191e-09  4.859888e-13  7.067899e-16
 669  2.087443e-09  4.596962e-13  7.067899e-16
 673  2.038173e-09  4.551727e-13  7.067899e-16
 677  1.990360e-09  4.335449e-13  7.067899e-16
 681  1.943938e-09  4.172888e-13  7.067899e-16
 685  1.898864e-09  3.993363e-13  7.067899e-16
