# 3D harmonic oscillator
# eigenvalue = 1.513490e+00

#   r       u(r)
0.792969 3.838635e-02
0.796875 3.851499e-02
0.800781 3.864283e-02
0.804688 3.876987e-02
0.808594 3.889612e-02
0.812500 3.902156e-02
0.816406 3.914620e-02
0.820312 3.927003e-02
0.824219 3.939306e-02
0.828125 3.951529e-02
0.832031 3.963670e-02
0.835938 3.975730e-02
0.839844 3.987709e-02
0.843750 3.999606e-02
0.847656 4.011422e-02
0.851562 4.023157e-02
0.855469 4.034809e-02
0.859375 4.046380e-02
0.863281 4.057869e-02
0.867188 4.069275e-02
0.871094 4.080599e-02
0.875000 4.091841e-02
0.878906 4.103000e-02
0.882812 4.114077e-02
0.886719 4.125071e-02
0.890625 4.135982e-02
0.894531 4.146810e-02
0.898438 4.157554e-02
0.902344 4.168216e-02
0.906250 4.178794e-02
0.910156 4.189289e-02
0.914062 4.199700e-02
0.917969 4.210028e-02
0.921875 4.220272e-02
0.925781 4.230432e-02
0.929688 4.240509e-02
0.933594 4.250501e-02
0.937500 4.260409e-02
0.941406 4.270234e-02
0.945312 4.279974e-02
0.949219 4.289630e-02
0.953125 4.299201e-02
0.957031 4.308688e-02
0.960938 4.318091e-02
0.964844 4.327409e-02
0.968750 4.336643e-02
0.972656 4.345792e-02
0.976562 4.354856e-02
0.980469 4.363836e-02
0.984375 4.372731e-02
0.988281 4.381541e-02
0.992188 4.390266e-02
0.996094 4.398906e-02
1.000000 4.407461e-02
1.003906 4.415932e-02
1.007812 4.424317e-02
1.011719 4.432617e-02
1.015625 4.440832e-02
1.019531 4.448962e-02
1.023438 4.457007e-02
1.027344 4.464967e-02
1.031250 4.472842e-02
1.035156 4.480632e-02
1.039062 4.488336e-02
1.042969 4.495956e-02
1.046875 4.503490e-02
1.050781 4.510939e-02
1.054688 4.518302e-02
1.058594 4.525581e-02
1.062500 4.532774e-02
1.066406 4.539883e-02
1.070312 4.546906e-02
1.074219 4.553844e-02
1.078125 4.560697e-02
1.082031 4.567464e-02
1.085938 4.574147e-02
1.089844 4.580745e-02
1.093750 4.587257e-02
1.097656 4.593685e-02
1.101562 4.600027e-02
1.105469 4.606285e-02
1.109375 4.612458e-02
1.113281 4.618546e-02
1.117188 4.624549e-02
1.121094 4.630467e-02
1.125000 4.636301e-02
1.128906 4.642050e-02
1.132812 4.647714e-02
1.136719 4.653293e-02
1.140625 4.658789e-02
1.144531 4.664199e-02
1.148438 4.669526e-02
1.152344 4.674767e-02
1.156250 4.679925e-02
1.160156 4.684998e-02
1.164062 4.689988e-02
1.167969 4.694893e-02
1.171875 4.699714e-02
1.175781 4.704451e-02
1.179688 4.709105e-02
1.183594 4.713675e-02
1.187500 4.718161e-02
1.191406 4.722563e-02
1.195312 4.726882e-02
1.199219 4.731118e-02
1.203125 4.735270e-02
1.207031 4.739339e-02
1.210938 4.743325e-02
1.214844 4.747228e-02
1.218750 4.751048e-02
1.222656 4.754785e-02
1.226562 4.758440e-02
1.230469 4.762012e-02
1.234375 4.765501e-02
1.238281 4.768908e-02
1.242188 4.772233e-02
1.246094 4.775476e-02
1.250000 4.778637e-02
1.253906 4.781716e-02
1.257812 4.784713e-02
1.261719 4.787628e-02
1.265625 4.790462e-02
1.269531 4.793215e-02
1.273438 4.795886e-02
1.277344 4.798477e-02
1.281250 4.800986e-02
1.285156 4.803415e-02
1.289062 4.805763e-02
1.292969 4.808030e-02
1.296875 4.810217e-02
1.300781 4.812324e-02
1.304688 4.814351e-02
1.308594 4.816298e-02
1.312500 4.818165e-02
1.316406 4.819952e-02
1.320312 4.821660e-02
1.324219 4.823289e-02
1.328125 4.824838e-02
1.332031 4.826309e-02
1.335938 4.827701e-02
1.339844 4.829014e-02
1.343750 4.830249e-02
1.347656 4.831405e-02
1.351562 4.832484e-02
1.355469 4.833484e-02
1.359375 4.834407e-02
1.363281 4.835252e-02
1.367188 4.836020e-02
1.371094 4.836710e-02
1.375000 4.837324e-02
1.378906 4.837860e-02
1.382812 4.838320e-02
1.386719 4.838704e-02
1.390625 4.839011e-02
1.394531 4.839243e-02
1.398438 4.839398e-02
1.402344 4.839478e-02
1.406250 4.839482e-02
1.410156 4.839411e-02
1.414062 4.839265e-02
1.417969 4.839045e-02
1.421875 4.838749e-02
1.425781 4.838379e-02
1.429688 4.837935e-02
1.433594 4.837417e-02
1.437500 4.836825e-02
1.441406 4.836160e-02
1.445312 4.835421e-02
1.449219 4.834609e-02
1.453125 4.833724e-02
1.457031 4.832767e-02
1.460938 4.831737e-02
1.464844 4.830634e-02
1.468750 4.829460e-02
1.472656 4.828214e-02
1.476562 4.826896e-02
1.480469 4.825507e-02
1.484375 4.824047e-02
1.488281 4.822516e-02
1.492188 4.820915e-02
1.496094 4.819243e-02
1.500000 4.817501e-02
1.503906 4.815689e-02
1.507812 4.813807e-02
1.511719 4.811856e-02
1.515625 4.809836e-02
1.519531 4.807747e-02
1.523438 4.805589e-02
1.527344 4.803362e-02
1.531250 4.801068e-02
1.535156 4.798706e-02
1.539062 4.796275e-02
1.542969 4.793778e-02
1.546875 4.791213e-02
1.550781 4.788582e-02
1.554688 4.785883e-02
1.558594 4.783119e-02
1.562500 4.780288e-02
1.566406 4.777391e-02
1.570312 4.774429e-02
1.574219 4.771401e-02
1.578125 4.768309e-02
1.582031 4.765151e-02
1.585938 4.761929e-02
1.589844 4.758643e-02
1.593750 4.755292e-02
1.597656 4.751878e-02
1.601562 4.748400e-02
1.605469 4.744860e-02
1.609375 4.741256e-02
1.613281 4.737589e-02
1.617188 4.733861e-02
1.621094 4.730070e-02
1.625000 4.726217e-02
1.628906 4.722303e-02
1.632812 4.718328e-02
1.636719 4.714291e-02
1.640625 4.710194e-02
1.644531 4.706036e-02
1.648438 4.701819e-02
1.652344 4.697541e-02
1.656250 4.693204e-02
1.660156 4.688808e-02
1.664062 4.684352e-02
1.667969 4.679838e-02
1.671875 4.675266e-02
1.675781 4.670635e-02
1.679688 4.665947e-02
1.683594 4.661201e-02
1.687500 4.656398e-02
1.691406 4.651538e-02
1.695312 4.646621e-02
1.699219 4.641648e-02
1.703125 4.636618e-02
1.707031 4.631533e-02
1.710938 4.626393e-02
1.714844 4.621197e-02
1.718750 4.615947e-02
1.722656 4.610642e-02
1.726562 4.605282e-02
1.730469 4.599869e-02
1.734375 4.594402e-02
1.738281 4.588881e-02
1.742188 4.583308e-02
1.746094 4.577681e-02
1.750000 4.572003e-02
1.753906 4.566272e-02
1.757812 4.560489e-02
1.761719 4.554654e-02
1.765625 4.548769e-02
1.769531 4.542832e-02
1.773438 4.536845e-02
1.777344 4.530807e-02
1.781250 4.524719e-02
1.785156 4.518582e-02
1.789062 4.512395e-02
1.792969 4.506159e-02
1.796875 4.499875e-02
1.800781 4.493541e-02
1.804688 4.487160e-02
1.808594 4.480731e-02
1.812500 4.474254e-02
1.816406 4.467730e-02
1.820312 4.461159e-02
1.824219 4.454541e-02
1.828125 4.447877e-02
1.832031 4.441167e-02
1.835938 4.434411e-02
1.839844 4.427610e-02
1.843750 4.420764e-02
1.847656 4.413873e-02
1.851562 4.406937e-02
1.855469 4.399958e-02
1.859375 4.392934e-02
1.863281 4.385868e-02
1.867188 4.378757e-02
1.871094 4.371604e-02
1.875000 4.364409e-02
1.878906 4.357171e-02
1.882812 4.349891e-02
1.886719 4.342570e-02
1.890625 4.335207e-02
1.894531 4.327803e-02
1.898438 4.320359e-02
1.902344 4.312874e-02
1.906250 4.305349e-02
1.910156 4.297785e-02
1.914062 4.290181e-02
1.917969 4.282537e-02
1.921875 4.274855e-02
1.925781 4.267135e-02
1.929688 4.259376e-02
1.933594 4.251580e-02
1.937500 4.243746e-02
1.941406 4.235874e-02
1.945312 4.227966e-02
1.949219 4.220021e-02
1.953125 4.212040e-02
1.957031 4.204023e-02
1.960938 4.195971e-02
1.964844 4.187882e-02
1.968750 4.179759e-02
1.972656 4.171601e-02
1.976562 4.163409e-02
1.980469 4.155183e-02
1.984375 4.146923e-02
1.988281 4.138629e-02
1.992188 4.130302e-02
1.996094 4.121942e-02
2.000000 4.113550e-02
2.003906 4.105126e-02
2.007812 4.096669e-02
2.011719 4.088181e-02
2.015625 4.079662e-02
2.019531 4.071112e-02
2.023438 4.062531e-02
2.027344 4.053920e-02
2.031250 4.045278e-02
2.035156 4.036607e-02
2.039062 4.027907e-02
2.042969 4.019177e-02
2.046875 4.010418e-02
2.050781 4.001631e-02
2.054688 3.992816e-02
2.058594 3.983973e-02
2.062500 3.975102e-02
2.066406 3.966204e-02
2.070312 3.957279e-02
2.074219 3.948327e-02
2.078125 3.939349e-02
2.082031 3.930345e-02
2.085938 3.921315e-02
2.089844 3.912259e-02
2.093750 3.903179e-02
2.097656 3.894073e-02
2.101562 3.884943e-02
2.105469 3.875789e-02
2.109375 3.866611e-02
2.113281 3.857409e-02
2.117188 3.848183e-02
2.121094 3.838935e-02
2.125000 3.829664e-02
2.128906 3.820370e-02
2.132812 3.811054e-02
2.136719 3.801717e-02
2.140625 3.792358e-02
2.144531 3.782977e-02
2.148438 3.773575e-02
2.152344 3.764153e-02
2.156250 3.754710e-02
2.160156 3.745248e-02
2.164062 3.735765e-02
2.167969 3.726263e-02
2.171875 3.716742e-02
2.175781 3.707201e-02
2.179688 3.697642e-02
2.183594 3.688065e-02
2.187500 3.678469e-02
2.191406 3.668856e-02
2.195312 3.659225e-02
2.199219 3.649577e-02
2.203125 3.639912e-02
2.207031 3.630230e-02
2.210938 3.620532e-02
2.214844 3.610818e-02
2.218750 3.601088e-02
2.222656 3.591343e-02
2.226562 3.581582e-02
2.230469 3.571806e-02
2.234375 3.562016e-02
2.238281 3.552211e-02
2.242188 3.542392e-02
2.246094 3.532559e-02
2.250000 3.522713e-02
2.253906 3.512853e-02
2.257812 3.502980e-02
2.261719 3.493094e-02
2.265625 3.483196e-02
2.269531 3.473286e-02
2.273438 3.463364e-02
2.277344 3.453430e-02
2.281250 3.443484e-02
2.285156 3.433528e-02
2.289062 3.423560e-02
2.292969 3.413582e-02
2.296875 3.403593e-02
2.300781 3.393595e-02
2.304688 3.383586e-02
2.308594 3.373568e-02
2.312500 3.363541e-02
2.316406 3.353504e-02
2.320312 3.343459e-02
2.324219 3.333405e-02
2.328125 3.323343e-02
2.332031 3.313273e-02
2.335938 3.303195e-02
2.339844 3.293110e-02
2.343750 3.283017e-02
2.347656 3.272917e-02
2.351562 3.262811e-02
2.355469 3.252698e-02
2.359375 3.242579e-02
2.363281 3.232453e-02
2.367188 3.222322e-02
2.371094 3.212185e-02
2.375000 3.202044e-02
2.378906 3.191897e-02
2.382812 3.181745e-02
2.386719 3.171588e-02
2.390625 3.161428e-02
2.394531 3.151263e-02
2.398438 3.141094e-02
2.402344 3.130922e-02
2.406250 3.120747e-02
2.410156 3.110568e-02
2.414062 3.100386e-02
2.417969 3.090202e-02
2.421875 3.080015e-02
2.425781 3.069826e-02
2.429688 3.059635e-02
2.433594 3.049442e-02
2.437500 3.039248e-02
2.441406 3.029053e-02
2.445312 3.018856e-02
2.449219 3.008658e-02
2.453125 2.998460e-02
2.457031 2.988262e-02
2.460938 2.978063e-02
2.464844 2.967864e-02
2.468750 2.957666e-02
2.472656 2.947468e-02
2.476562 2.937270e-02
2.480469 2.927074e-02
2.484375 2.916879e-02
2.488281 2.906685e-02
2.492188 2.896492e-02
2.496094 2.886301e-02
2.500000 2.876112e-02
2.503906 2.865926e-02
2.507812 2.855741e-02
2.511719 2.845560e-02
2.515625 2.835381e-02
2.519531 2.825205e-02
2.523438 2.815032e-02
2.527344 2.804862e-02
2.531250 2.794696e-02
2.535156 2.784534e-02
2.539062 2.774376e-02
2.542969 2.764222e-02
2.546875 2.754072e-02
2.550781 2.743927e-02
2.554688 2.733787e-02
2.558594 2.723651e-02
2.562500 2.713521e-02
2.566406 2.703396e-02
2.570312 2.693276e-02
2.574219 2.683163e-02
2.578125 2.673055e-02
2.582031 2.662953e-02
2.585938 2.652857e-02
2.589844 2.642767e-02
2.593750 2.632685e-02
2.597656 2.622609e-02
2.601562 2.612540e-02
2.605469 2.602478e-02
2.609375 2.592423e-02
2.613281 2.582376e-02
2.617188 2.572336e-02
2.621094 2.562305e-02
2.625000 2.552281e-02
2.628906 2.542265e-02
2.632812 2.532258e-02
2.636719 2.522259e-02
2.640625 2.512269e-02
2.644531 2.502288e-02
2.648438 2.492315e-02
2.652344 2.482352e-02
2.656250 2.472398e-02
2.660156 2.462454e-02
2.664062 2.452519e-02
2.667969 2.442593e-02
2.671875 2.432678e-02
2.675781 2.422773e-02
2.679688 2.412878e-02
2.683594 2.402993e-02
2.687500 2.393119e-02
2.691406 2.383256e-02
2.695312 2.373403e-02
2.699219 2.363562e-02
2.703125 2.353731e-02
2.707031 2.343912e-02
2.710938 2.334104e-02
2.714844 2.324308e-02
2.718750 2.314523e-02
2.722656 2.304750e-02
2.726562 2.294989e-02
2.730469 2.285241e-02
2.734375 2.275504e-02
2.738281 2.265780e-02
2.742188 2.256068e-02
2.746094 2.246369e-02
2.750000 2.236682e-02
2.753906 2.227009e-02
2.757812 2.217348e-02
2.761719 2.207701e-02
2.765625 2.198067e-02
2.769531 2.188446e-02
2.773438 2.178839e-02
2.777344 2.169245e-02
2.781250 2.159665e-02
2.785156 2.150099e-02
2.789062 2.140547e-02
2.792969 2.131009e-02
2.796875 2.121485e-02
2.800781 2.111975e-02
2.804688 2.102480e-02
2.808594 2.092999e-02
2.812500 2.083533e-02
2.816406 2.074082e-02
2.820312 2.064646e-02
2.824219 2.055225e-02
2.828125 2.045818e-02
2.832031 2.036427e-02
2.835938 2.027051e-02
2.839844 2.017691e-02
2.843750 2.008346e-02
2.847656 1.999017e-02
2.851562 1.989703e-02
2.855469 1.980405e-02
2.859375 1.971123e-02
2.863281 1.961857e-02
2.867188 1.952606e-02
2.871094 1.943372e-02
2.875000 1.934155e-02
2.878906 1.924953e-02
2.882812 1.915768e-02
2.886719 1.906600e-02
2.890625 1.897448e-02
2.894531 1.888313e-02
2.898438 1.879194e-02
2.902344 1.870092e-02
2.906250 1.861007e-02
2.910156 1.851940e-02
2.914062 1.842889e-02
2.917969 1.833855e-02
2.921875 1.824839e-02
2.925781 1.815840e-02
2.929688 1.806858e-02
2.933594 1.797894e-02
2.937500 1.788947e-02
2.941406 1.780018e-02
2.945312 1.771106e-02
2.949219 1.762212e-02
2.953125 1.753336e-02
2.957031 1.744478e-02
2.960938 1.735637e-02
2.964844 1.726815e-02
2.968750 1.718010e-02
2.972656 1.709224e-02
2.976562 1.700456e-02
2.980469 1.691706e-02
2.984375 1.682974e-02
2.988281 1.674261e-02
2.992188 1.665566e-02
2.996094 1.656889e-02
3.000000 1.648231e-02
3.003906 1.639591e-02
3.007812 1.630970e-02
3.011719 1.622368e-02
3.015625 1.613784e-02
3.019531 1.605219e-02
3.023438 1.596673e-02
3.027344 1.588145e-02
3.031250 1.579637e-02
3.035156 1.571147e-02
3.039062 1.562676e-02
3.042969 1.554224e-02
3.046875 1.545791e-02
3.050781 1.537378e-02
3.054688 1.528983e-02
3.058594 1.520607e-02
3.062500 1.512251e-02
3.066406 1.503913e-02
3.070312 1.495595e-02
3.074219 1.487297e-02
3.078125 1.479017e-02
3.082031 1.470757e-02
3.085938 1.462516e-02
3.089844 1.454294e-02
3.093750 1.446092e-02
3.097656 1.437909e-02
3.101562 1.429746e-02
3.105469 1.421602e-02
3.109375 1.413478e-02
3.113281 1.405373e-02
3.117188 1.397287e-02
3.121094 1.389221e-02
3.125000 1.381175e-02
3.128906 1.373148e-02
3.132812 1.365141e-02
3.136719 1.357153e-02
3.140625 1.349185e-02
3.144531 1.341237e-02
3.148438 1.333308e-02
3.152344 1.325398e-02
3.156250 1.317509e-02
3.160156 1.309639e-02
3.164062 1.301789e-02
3.167969 1.293958e-02
3.171875 1.286147e-02
3.175781 1.278356e-02
3.179688 1.270584e-02
3.183594 1.262832e-02
3.187500 1.255100e-02
3.191406 1.247387e-02
3.195312 1.239694e-02
3.199219 1.232020e-02
3.203125 1.224367e-02
3.207031 1.216733e-02
3.210938 1.209118e-02
3.214844 1.201523e-02
3.218750 1.193948e-02
3.222656 1.186393e-02
3.226562 1.178857e-02
3.230469 1.171340e-02
3.234375 1.163843e-02
3.238281 1.156366e-02
3.242188 1.148908e-02
3.246094 1.141470e-02
3.250000 1.134052e-02
3.253906 1.126652e-02
3.257812 1.119273e-02
3.261719 1.111913e-02
3.265625 1.104572e-02
3.269531 1.097251e-02
3.273438 1.089949e-02
3.277344 1.082666e-02
3.281250 1.075403e-02
3.285156 1.068159e-02
3.289062 1.060935e-02
3.292969 1.053729e-02
3.296875 1.046543e-02
3.300781 1.039377e-02
3.304688 1.032229e-02
3.308594 1.025101e-02
3.312500 1.017991e-02
3.316406 1.010901e-02
3.320312 1.003830e-02
3.324219 9.967782e-03
3.328125 9.897451e-03
3.332031 9.827310e-03
3.335938 9.757358e-03
3.339844 9.687595e-03
3.343750 9.618021e-03
3.347656 9.548634e-03
3.351562 9.479436e-03
3.355469 9.410424e-03
3.359375 9.341600e-03
3.363281 9.272962e-03
3.367188 9.204510e-03
3.371094 9.136243e-03
3.375000 9.068162e-03
3.378906 9.000265e-03
3.382812 8.932552e-03
3.386719 8.865023e-03
3.390625 8.797677e-03
3.394531 8.730514e-03
3.398438 8.663533e-03
3.402344 8.596733e-03
3.406250 8.530115e-03
3.410156 8.463677e-03
3.414062 8.397419e-03
3.417969 8.331340e-03
3.421875 8.265441e-03
3.425781 8.199720e-03
3.429688 8.134176e-03
3.433594 8.068810e-03
3.437500 8.003620e-03
3.441406 7.938606e-03
3.445312 7.873767e-03
3.449219 7.809104e-03
3.453125 7.744614e-03
3.457031 7.680297e-03
3.460938 7.616154e-03
3.464844 7.552182e-03
3.468750 7.488382e-03
3.472656 7.424753e-03
3.476562 7.361294e-03
3.480469 7.298004e-03
3.484375 7.234883e-03
3.488281 7.171930e-03
3.492188 7.109144e-03
3.496094 7.046525e-03
3.500000 6.984071e-03
3.503906 6.921783e-03
3.507812 6.859659e-03
3.511719 6.797698e-03
3.515625 6.735900e-03
3.519531 6.674265e-03
3.523438 6.612790e-03
3.527344 6.551476e-03
3.531250 6.490322e-03
3.535156 6.429327e-03
3.539062 6.368489e-03
3.542969 6.307809e-03
3.546875 6.247285e-03
3.550781 6.186917e-03
3.554688 6.126703e-03
3.558594 6.066643e-03
3.562500 6.006736e-03
3.566406 5.946982e-03
3.570312 5.887378e-03
3.574219 5.827925e-03
3.578125 5.768621e-03
3.582031 5.709466e-03
3.585938 5.650458e-03
3.589844 5.591597e-03
3.593750 5.532882e-03
3.597656 5.474311e-03
3.601562 5.415885e-03
3.605469 5.357601e-03
3.609375 5.299459e-03
3.613281 5.241459e-03
3.617188 5.183598e-03
3.621094 5.125876e-03
3.625000 5.068292e-03
3.628906 5.010846e-03
3.632812 4.953535e-03
3.636719 4.896359e-03
3.640625 4.839318e-03
3.644531 4.782409e-03
3.648438 4.725632e-03
3.652344 4.668986e-03
3.656250 4.612469e-03
3.660156 4.556081e-03
3.664062 4.499821e-03
3.667969 4.443688e-03
3.671875 4.387680e-03
3.675781 4.331796e-03
3.679688 4.276035e-03
3.683594 4.220397e-03
3.687500 4.164880e-03
3.691406 4.109482e-03
3.695312 4.054203e-03
3.699219 3.999042e-03
3.703125 3.943997e-03
3.707031 3.889067e-03
3.710938 3.834252e-03
3.714844 3.779549e-03
3.718750 3.724958e-03
3.722656 3.670477e-03
3.726562 3.616106e-03
3.730469 3.561843e-03
3.734375 3.507686e-03
3.738281 3.453635e-03
3.742188 3.399689e-03
3.746094 3.345846e-03
3.750000 3.292104e-03
3.753906 3.238463e-03
3.757812 3.184922e-03
3.761719 3.131478e-03
3.765625 3.078131e-03
3.769531 3.024879e-03
3.773438 2.971722e-03
3.777344 2.918657e-03
3.781250 2.865684e-03
3.785156 2.812801e-03
3.789062 2.760007e-03
3.792969 2.707300e-03
3.796875 2.654679e-03
3.800781 2.602143e-03
3.804688 2.549690e-03
3.808594 2.497319e-03
3.812500 2.445029e-03
3.816406 2.392818e-03
3.820312 2.340684e-03
3.824219 2.288627e-03
3.828125 2.236644e-03
3.832031 2.184735e-03
3.835938 2.132898e-03
3.839844 2.081131e-03
3.843750 2.029434e-03
3.847656 1.977803e-03
3.851562 1.926239e-03
3.855469 1.874740e-03
3.859375 1.823303e-03
3.863281 1.771928e-03
3.867188 1.720612e-03
3.871094 1.669356e-03
3.875000 1.618156e-03
3.878906 1.567011e-03
3.882812 1.515920e-03
3.886719 1.464882e-03
3.890625 1.413893e-03
3.894531 1.362954e-03
3.898438 1.312063e-03
3.902344 1.261217e-03
3.906250 1.210415e-03
3.910156 1.159656e-03
3.914062 1.108937e-03
3.917969 1.058258e-03
3.921875 1.007616e-03
3.925781 9.570102e-04
3.929688 9.064385e-04
3.933594 8.558992e-04
3.937500 8.053907e-04
3.941406 7.549113e-04
3.945312 7.044591e-04
3.949219 6.540325e-04
3.953125 6.036297e-04
3.957031 5.532490e-04
3.960938 5.028885e-04
3.964844 4.525465e-04
3.968750 4.022212e-04
3.972656 3.519107e-04
3.976562 3.016133e-04
3.980469 2.513272e-04
3.984375 2.010504e-04
3.988281 1.507812e-04
3.992188 1.005176e-04
3.996094 5.025787e-05
