# 3D harmonic oscillator
# eigenvalue = 1.513490e+00

#   r       u(r)
0.003906 2.216183e-04
0.007812 4.432315e-04
0.011719 6.648344e-04
0.015625 8.864220e-04
0.019531 1.107989e-03
0.023438 1.329531e-03
0.027344 1.551041e-03
0.031250 1.772516e-03
0.035156 1.993951e-03
0.039062 2.215339e-03
0.042969 2.436676e-03
0.046875 2.657956e-03
0.050781 2.879175e-03
0.054688 3.100328e-03
0.058594 3.321410e-03
0.062500 3.542414e-03
0.066406 3.763337e-03
0.070312 3.984173e-03
0.074219 4.204917e-03
0.078125 4.425564e-03
0.082031 4.646109e-03
0.085938 4.866547e-03
0.089844 5.086872e-03
0.093750 5.307080e-03
0.097656 5.527166e-03
0.101562 5.747125e-03
0.105469 5.966950e-03
0.109375 6.186639e-03
0.113281 6.406184e-03
0.117188 6.625583e-03
0.121094 6.844828e-03
0.125000 7.063916e-03
0.128906 7.282841e-03
0.132812 7.501598e-03
0.136719 7.720183e-03
0.140625 7.938589e-03
0.144531 8.156813e-03
0.148438 8.374850e-03
0.152344 8.592693e-03
0.156250 8.810339e-03
0.160156 9.027783e-03
0.164062 9.245018e-03
0.167969 9.462042e-03
0.171875 9.678847e-03
0.175781 9.895431e-03
0.179688 1.011179e-02
0.183594 1.032791e-02
0.187500 1.054380e-02
0.191406 1.075944e-02
0.195312 1.097484e-02
0.199219 1.118998e-02
0.203125 1.140487e-02
0.207031 1.161950e-02
0.210938 1.183386e-02
0.214844 1.204795e-02
0.218750 1.226176e-02
0.222656 1.247530e-02
0.226562 1.268854e-02
0.230469 1.290150e-02
0.234375 1.311416e-02
0.238281 1.332652e-02
0.242188 1.353858e-02
0.246094 1.375032e-02
0.250000 1.396175e-02
0.253906 1.417287e-02
0.257812 1.438366e-02
0.261719 1.459412e-02
0.265625 1.480424e-02
0.269531 1.501403e-02
0.273438 1.522348e-02
0.277344 1.543258e-02
0.281250 1.564133e-02
0.285156 1.584972e-02
0.289062 1.605775e-02
0.292969 1.626541e-02
0.296875 1.647270e-02
0.300781 1.667962e-02
0.304688 1.688616e-02
0.308594 1.709232e-02
0.312500 1.729809e-02
0.316406 1.750346e-02
0.320312 1.770844e-02
0.324219 1.791301e-02
0.328125 1.811718e-02
0.332031 1.832094e-02
0.335938 1.852428e-02
0.339844 1.872720e-02
0.343750 1.892970e-02
0.347656 1.913177e-02
0.351562 1.933340e-02
0.355469 1.953460e-02
0.359375 1.973536e-02
0.363281 1.993567e-02
0.367188 2.013553e-02
0.371094 2.033493e-02
0.375000 2.053388e-02
0.378906 2.073236e-02
0.382812 2.093038e-02
0.386719 2.112792e-02
0.390625 2.132499e-02
0.394531 2.152158e-02
0.398438 2.171769e-02
0.402344 2.191330e-02
0.406250 2.210843e-02
0.410156 2.230305e-02
0.414062 2.249718e-02
0.417969 2.269080e-02
0.421875 2.288391e-02
0.425781 2.307651e-02
0.429688 2.326859e-02
0.433594 2.346015e-02
0.437500 2.365119e-02
0.441406 2.384170e-02
0.445312 2.403167e-02
0.449219 2.422111e-02
0.453125 2.441001e-02
0.457031 2.459836e-02
0.460938 2.478616e-02
0.464844 2.497342e-02
0.468750 2.516011e-02
0.472656 2.534625e-02
0.476562 2.553182e-02
0.480469 2.571682e-02
0.484375 2.590126e-02
0.488281 2.608511e-02
0.492188 2.626839e-02
0.496094 2.645109e-02
0.500000 2.663320e-02
0.503906 2.681472e-02
0.507812 2.699565e-02
0.511719 2.717598e-02
0.515625 2.735571e-02
0.519531 2.753484e-02
0.523438 2.771336e-02
0.527344 2.789127e-02
0.531250 2.806856e-02
0.535156 2.824524e-02
0.539062 2.842129e-02
0.542969 2.859672e-02
0.546875 2.877152e-02
0.550781 2.894569e-02
0.554688 2.911922e-02
0.558594 2.929212e-02
0.562500 2.946437e-02
0.566406 2.963598e-02
0.570312 2.980695e-02
0.574219 2.997726e-02
0.578125 3.014691e-02
0.582031 3.031591e-02
0.585938 3.048425e-02
0.589844 3.065192e-02
0.593750 3.081892e-02
0.597656 3.098526e-02
0.601562 3.115092e-02
0.605469 3.131591e-02
0.609375 3.148021e-02
0.613281 3.164384e-02
0.617188 3.180677e-02
0.621094 3.196902e-02
0.625000 3.213058e-02
0.628906 3.229145e-02
0.632812 3.245161e-02
0.636719 3.261108e-02
0.640625 3.276985e-02
0.644531 3.292791e-02
0.648438 3.308526e-02
0.652344 3.324190e-02
0.656250 3.339782e-02
0.660156 3.355303e-02
0.664062 3.370753e-02
0.667969 3.386129e-02
0.671875 3.401434e-02
0.675781 3.416666e-02
0.679688 3.431825e-02
0.683594 3.446910e-02
0.687500 3.461922e-02
0.691406 3.476861e-02
0.695312 3.491725e-02
0.699219 3.506516e-02
0.703125 3.521232e-02
0.707031 3.535873e-02
0.710938 3.550439e-02
0.714844 3.564930e-02
0.718750 3.579346e-02
0.722656 3.593686e-02
0.726562 3.607950e-02
0.730469 3.622139e-02
0.734375 3.636251e-02
0.738281 3.650286e-02
0.742188 3.664245e-02
0.746094 3.678127e-02
0.750000 3.691931e-02
0.753906 3.705659e-02
0.757812 3.719309e-02
0.761719 3.732881e-02
0.765625 3.746375e-02
0.769531 3.759791e-02
0.773438 3.773129e-02
0.777344 3.786388e-02
0.781250 3.799568e-02
0.785156 3.812670e-02
0.789062 3.825692e-02
