1 9.350163e-01
2 4.330710e-01
3 2.647608e-01
4 1.795059e-01
5 1.278293e-01
6 9.311121e-02
7 6.816431e-02
8 4.936631e-02
9 3.469616e-02
10 2.297071e-02
11 1.360278e-02
12 6.662848e-03
13 2.624233e-03
14 1.093296e-03
15 6.772081e-04
16 4.855079e-04
17 2.744736e-04
18 1.016890e-04
19 5.459530e-05
20 5.151236e-05
21 4.502261e-05
22 2.368560e-05
23 1.767782e-05
24 1.743458e-05
25 1.696553e-05
26 1.168324e-05
27 1.154500e-05
28 1.080452e-05
29 9.890066e-06
30 8.765720e-06
31 8.166139e-06
32 8.161481e-06
33 7.009503e-06
34 6.904140e-06
35 6.629161e-06
36 5.947553e-06
37 5.947498e-06
38 5.536497e-06
39 5.191911e-06
40 5.163384e-06
41 4.775779e-06
42 4.585828e-06
43 4.540751e-06
44 4.217948e-06
45 4.082537e-06
46 4.048480e-06
