# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=20, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t))                TE 
0.2400  3.694196369868491e-02  -6.795814288493271e-02  2.309154592184465e-03    2.693826962646537e-02  5.000000000000000e-01
0.2500  3.625816190285289e-02  -6.873148657581646e-02  2.362008623460819e-03    2.595023582065922e-02  5.000000000000000e-01
0.2600  3.556861924432726e-02  -6.911879875785744e-02  2.388704170864597e-03    2.497259959800322e-02  5.000000000000000e-01
0.2700  3.487684281443984e-02  -6.918866968128859e-02  2.393536006133231e-03    2.401065840282713e-02  5.000000000000000e-01
0.2800  3.418571196677393e-02  -6.899839176018868e-02  2.380389032746237e-03    2.306848105526663e-02  5.000000000000000e-01
0.2900  3.349758180745169e-02  -6.859580259147405e-02  2.352692066584239e-03    2.214912906876160e-02  5.000000000000000e-01
0.3000  3.281436980101429e-02  -6.802082771049529e-02  2.313416501210442e-03    2.125484181548343e-02  5.000000000000000e-01
0.3100  3.213762824273511e-02  -6.730677199342124e-02  2.265100778087197e-03    2.038719075201706e-02  5.000000000000000e-01
0.3200  3.146860490011812e-02  -6.648140064975479e-02  2.209888316176608e-03    1.954720738074650e-02  5.000000000000000e-01
0.3300  3.080829375123360e-02  -6.556784407917920e-02  2.149571088595778e-03    1.873548906046711e-02  5.000000000000000e-01
0.3400  3.015747743354240e-02  -6.458535528409995e-02  2.085634058586709e-03    1.795228623394386e-02  5.000000000000000e-01
0.3500  2.951676275400549e-02  -6.354994385578489e-02  2.019297682036706e-03    1.719757413319819e-02  5.000000000000000e-01
0.3600  2.888661039123696e-02  -6.247490663978611e-02  1.951556979824995e-03    1.647111156617882e-02  5.000000000000000e-01
0.3700  2.826735973626185e-02  -6.137127191135641e-02  1.883216508008822e-03    1.577248898472898e-02  5.000000000000000e-01
0.3800  2.765924966424625e-02  -6.024817115005170e-02  1.814921063462961e-03    1.510116768255816e-02  5.000000000000000e-01
0.3900  2.706243590049041e-02  -5.911315020774673e-02  1.747182263741813e-03    1.445651166992732e-02  5.000000000000000e-01
0.4000  2.647700553592294e-02  -5.797242974314665e-02  1.680401305162037e-03    1.383781351437672e-02  5.000000000000000e-01
0.4100  2.590298915688301e-02  -5.683112318766103e-02  1.614888281385552e-03    1.324431521901865e-02  5.000000000000000e-01
0.4200  2.534037097825942e-02  -5.569341916124844e-02  1.550878468935257e-03    1.267522502663485e-02  5.000000000000000e-01
0.4300  2.478909730567076e-02  -5.456273412986904e-02  1.488545977863388e-03    1.212973088429734e-02  5.000000000000000e-01
0.4400  2.424908359931162e-02  -5.344184015278054e-02  1.428015139457673e-03    1.160701117511810e-02  5.000000000000000e-01
0.4500  2.372022036767275e-02  -5.233297177817927e-02  1.369369967567854e-03    1.110624321715583e-02  5.000000000000000e-01
0.4600  2.320237808216171e-02  -5.123791548459100e-02  1.312661991603045e-03    1.062660994107504e-02  5.000000000000000e-01
0.4700  2.269541127252520e-02  -5.015808451200462e-02  1.257916720956699e-03    1.016730508493257e-02  5.000000000000000e-01
